Date,Revenue
30/06/2023,22501000000
31/03/2023,18250000000
31/12/2022,27850000000
30/09/2022,23453000000
30/06/2022,22323000000
31/03/2022,17844000000
31/12/2021,27998000000
30/09/2021,21976000000
30/06/2021,20227000000
31/03/2021,16202000000
31/12/2020,25248000000
30/09/2020,20187000000
30/06/2020,19214000000
31/03/2020,14821000000
31/12/2019,22455000000
30/09/2019,18091000000
30/06/2019,15945000000
31/03/2019,13881000000
31/12/2018,20640000000
30/09/2018,17188000000
30/06/2018,16449000000
31/03/2018,12884000000
31/12/2017,19524000000
30/09/2017,16485000000
30/06/2017,16090000000
31/03/2017,12562000000
31/12/2016,19526000000
30/09/2016,16240000000
30/06/2016,15710000000
31/03/2016,12049000000
31/12/2015,19515000000
30/09/2015,16027000000
30/06/2015,15395000000
31/03/2015,11862000000
31/12/2014,18585000000
30/09/2014,16331000000
30/06/2014,15923000000
31/03/2014,12217000000